model,accuracy,precision,recall,specificity,f1,tp,fp,tn,fn,false_negative_rate,roc_auc,pr_auc,feature_space,num_features,num_qubits,training_time,inference_time,random_seed,val_accuracy,val_f1,method,compression_ratio
Logistic Regression [PCA-4D],0.9302,0.9444,0.9444,0.9062,0.9444,51,3,29,3,0.0556,0.9907,0.9947,pca_4,4,0,0.0051,0.000252,42,0.9882,0.9905,pca,7.5
SVM (RBF) [PCA-4D],0.9651,0.9811,0.963,0.9688,0.972,52,1,31,2,0.037,0.9942,0.9968,pca_4,4,0,0.0113,0.001004,42,0.9765,0.9808,pca,7.5
Logistic Regression [PCA-8D],0.9419,0.9623,0.9444,0.9375,0.9533,51,2,30,3,0.0556,0.9907,0.9945,pca_8,8,0,0.0077,0.000366,42,0.9765,0.9808,pca,3.75
SVM (RBF) [PCA-8D],0.9651,0.9811,0.963,0.9688,0.972,52,1,31,2,0.037,0.9971,0.9983,pca_8,8,0,0.0154,0.001306,42,0.9765,0.9808,pca,3.75
Logistic Regression [AUTOENCODER-4D],0.9419,0.9455,0.963,0.9062,0.9541,52,3,29,2,0.037,0.985,0.9911,autoencoder_4,4,0,0.0053,0.000193,42,0.9765,0.9808,autoencoder,7.5
SVM (RBF) [AUTOENCODER-4D],0.9651,0.9636,0.9815,0.9375,0.9725,53,2,30,1,0.0185,0.9832,0.9898,autoencoder_4,4,0,0.007,0.000602,42,0.9647,0.9709,autoencoder,7.5
Logistic Regression [AUTOENCODER-8D],0.9535,0.963,0.963,0.9375,0.963,52,2,30,2,0.037,0.9948,0.9969,autoencoder_8,8,0,0.0046,0.000174,42,0.9647,0.9714,autoencoder,3.75
SVM (RBF) [AUTOENCODER-8D],1.0,1.0,1.0,1.0,1.0,54,0,32,0,0.0,1.0,1.0,autoencoder_8,8,0,0.0107,0.000686,42,0.9765,0.9808,autoencoder,3.75
