model,accuracy,precision,recall,specificity,f1,tp,fp,tn,fn,false_negative_rate,roc_auc,pr_auc,feature_space,num_features,num_qubits,training_time,inference_time,random_seed,val_accuracy,val_f1
Logistic Regression,0.9651,0.9811,0.963,0.9688,0.972,52,1,31,2,0.037,0.9954,0.9971,raw_30,30,0,0.0274,0.000557,42,0.9765,0.9808
SVM (RBF),0.9767,0.9815,0.9815,0.9688,0.9815,53,1,31,1,0.0185,0.9959,0.9975,raw_30,30,0,0.0458,0.002101,42,0.9765,0.9808
Random Forest,0.8953,0.8947,0.9444,0.8125,0.9189,51,6,26,3,0.0556,0.9821,0.99,raw_30,30,0,0.4721,0.058023,42,0.9765,0.9808
Classical MLP,0.9419,0.9298,0.9815,0.875,0.955,53,4,28,1,0.0185,0.9919,0.9954,raw_30,30,0,0.2307,0.000889,42,0.9882,0.9905
